Brand Name;2023 Final scores - SECTION 3;2023 FINAL PERCENTAGES -  SECTION 3;2022 Final scores - SECTION 3;2022 FINAL PERCENTAGES -  SECTION 3;% change in score 2022-2023;2021 Final scores - SECTION 3;2021 FINAL PERCENTAGES -  SECTION 3;% change in score 2021-2022;2020 Final scores - SECTION 3;2020 FINAL PERCENTAGES -  SECTION 3;% change in score 2020-2021;2019 Final scores - SECTION 3;2019 FINAL PERCENTAGES -  SECTION 3;% change in score 2019-2022;2018 Final scores - SECTION 3;2018 FINAL PERCENTAGES -  SECTION 3;% change in score 2018-2022;2017 Final scores  - SECTION 3;2017 FINAL PERCENTAGES - SECTION 3;% change in score 2017-2022;Percentage of brands in the Index, which have been targeted by the Transparency Pledge;;;;;;;;;;;;;;;;
Vero Moda;39;52,70%;29;39,73%;12,98%;19;25,68%;27,03%;20;25,32%;27%;20;23,53%;29,17%;14;16,47%;36,23%;;;#VALUE!;;;;;;;;;;;;;;;;;
Versace;1;1,35%;1;1,37%;-0,02%;1;1,35%;0,00%;0;0,00%;1%;0;0,00%;1,35%;0;0,00%;1,35%;;;#VALUE!;;;;;;;;;;;;;;;;;
Very;30;40,54%;18;24,66%;15,88%;15;20,27%;20,27%;20;25,32%;15%;21;24,71%;15,83%;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Victoria's Secret;15;20,27%;14;19,18%;1,09%;19;25,68%;-5,41%;10;12,66%;8%;10;11,76%;8,51%;0;0,00%;20,27%;0;0,00%;20,27%;;;;;;;;;;;;;;;;;
Walmart;0;0,00%;0;0,00%;0,00%;1;1,35%;-1,35%;1;1,27%;-1%;0;0,00%;0,00%;0;0,00%;0,00%;0;0,00%;0,00%;;;;;;;;;;;;;;;;;
Woolworths South Africa;9;12,16%;10;13,70%;-1,54%;1;1,35%;10,81%;1;1,27%;11%;;;#VALUE!;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Wrangler;34;45,95%;34;46,58%;-0,63%;34;45,95%;0,00%;64;81,01%;-35%;55;64,71%;-18,76%;31;36,47%;9,48%;9;10,59%;35,36%;;;;;;;;;;;;;;;;;
Youngor;0;0,00%;0;0,00%;0,00%;0;0,00%;0,00%;0;0,00%;0%;0;0,00%;0,00%;0;0,00%;0,00%;;;#VALUE!;;;;;;;;;;;;;;;;;
Zalando;35;47,30%;36;49,32%;-2,02%;37;50,00%;-2,70%;23;29,11%;18%;0;0,00%;47,30%;0;0,00%;47,30%;0;0,00%;47,30%;;;;;;;;;;;;;;;;;
Zara;8;10,81%;1;1,37%;9,44%;1;1,35%;9,46%;15;18,99%;-8%;16;18,82%;-8,01%;11;12,94%;-2,13%;10;11,76%;-0,95%;;;;;;;;;;;;;;;;;
Zeeman;43;58,11%;58;79,45%;-21,34%;31;41,89%;16,22%;19;24,05%;34%;;;#VALUE!;;;#VALUE!;;;58,11%;;;Absolute - average scores for all brands in previous editions (including brands that since been removed in later editions);;;;;;;;;;;;;;
