Brand Name;2023 Final scores - SECTION 4;2023 FINAL PERCENTAGES -  SECTION 4;2022 Final scores - SECTION 4;2022 FINAL PERCENTAGES -  SECTION 4;% change in score 2022-2023;2021 Final scores - SECTION 4;2021 FINAL PERCENTAGES -  SECTION 4;% change in score 2021-2023;2020 Final scores - SECTION 4;2020 FINAL PERCENTAGES -  SECTION 4;% change in score 2020-2023;2019 Final scores - SECTION 4;2019 FINAL PERCENTAGES -  SECTION 4;% change in score 2019-2023;2018 Final scores - SECTION 4;2018 FINAL PERCENTAGES -  SECTION 4;% change in score 2018-2023;2017 Final scores  - SECTION 4;2017 FINAL PERCENTAGES - SECTION 4;% change in score 2017-2023;;;;;;;;;;;;;;;;;
CAROLL;6;14,29%;6;12,00%;2,29%;9;19,15%;-4,86%;5;7,94%;6%;0;0,00%;14,29%;;;#VALUE!;;;14,29%;;;;;;;;;;;;;;;;;
Carrefour;17;40,48%;16;32,00%;8,48%;12;25,53%;14,94%;13;20,63%;20%;10;14,29%;26,19%;;;#VALUE!;;;40,48%;;;;;;;;;;;;;;;;;
Carter's;12;28,57%;7;14,00%;14,57%;8;17,02%;11,55%;#N/A;#N/A;#VALUE!;#N/A;#N/A;#VALUE!;#N/A;#N/A;#VALUE!;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;
CELINE;13;30,95%;14;28,00%;2,95%;9;19,15%;11,80%;7;11,11%;20%;2;2,86%;28,10%;;;#VALUE!;;;30,95%;;;;;;;;;;;;;;;;;
celio;1;2,38%;0;0,00%;2,38%;0;0,00%;2,38%;0;0,00%;2%;;;#VALUE!;;;#VALUE!;;;2,38%;;;;;;;;;;;;;;;;;
Champion;8;19,05%;10;20,00%;-0,95%;11;23,40%;-4,36%;16;25,40%;-6%;8;11,43%;7,62%;18;24,32%;-5,28%;12;16,00%;3,05%;;;;;;;;;;;;;;;;;
Chanel;1;2,38%;7;14,00%;-11,62%;4;8,51%;-6,13%;3;4,76%;-2%;3;4,29%;-1,90%;0;0,00%;2,38%;0;0,00%;2,38%;;;;;;;;;;;;;;;;;
Chico's;10;23,81%;2;4,00%;19,81%;4;8,51%;15,30%;7;11,11%;13%;7;10,00%;13,81%;12;16,22%;7,59%;6;8,00%;15,81%;;;;;;;;;;;;;;;;;
Chloé;6;14,29%;2;4,00%;10,29%;8;17,02%;-2,74%;10;15,87%;-2%;;;#VALUE!;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Clarks;10;23,81%;7;14,00%;9,81%;10;21,28%;2,53%;9;14,29%;10%;8;11,43%;12,38%;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
COACH;16;38,10%;14;28,00%;10,10%;7;14,89%;23,20%;9;14,29%;24%;12;17,14%;20,95%;21;28,38%;9,72%;21;28,00%;10,10%;;;;;;;;;;;;;;;;;
Columbia Sportswear;12;28,57%;11;22,00%;6,57%;11;23,40%;5,17%;11;17,46%;11%;11;15,71%;12,86%;13;;28,57%;;;28,57%;;;;;;;;;;;;;;;;;
Converse;17;40,48%;16;32,00%;8,48%;15;31,91%;8,56%;17;26,98%;13%;23;32,86%;7,62%;12;16,22%;24,26%;12;16,00%;24,48%;;;;;;;;;;;;;;;;;
Cortefiel;12;28,57%;12;24,00%;4,57%;10;21,28%;7,29%;12;19,05%;10%;10;14,29%;14,29%;7;9,46%;19,11%;;;#VALUE!;;;;;;;;;;;;;;;;;
Costco;5;11,90%;4;8,00%;3,90%;5;10,64%;1,27%;7;11,11%;1%;7;10,00%;1,90%;15;20,27%;-8,37%;;;11,90%;;;;;;;;;;;;;;;;;
Cotton On;11;26,19%;12;24,00%;2,19%;12;25,53%;0,66%;18;28,57%;-2%;;;#VALUE!;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Decathlon;14;33,33%;11;22,00%;11,33%;12;25,53%;7,80%;14;22,22%;11%;7;10,00%;23,33%;10;13,51%;19,82%;;;#VALUE!;;;;;;;;;;;;;;;;;
Deichmann;0;0,00%;0;0,00%;0,00%;0;0,00%;0,00%;#N/A;#N/A;#VALUE!;#N/A;#N/A;#VALUE!;#N/A;#N/A;#VALUE!;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;
Desigual;4;9,52%;2;4,00%;5,52%;9;19,15%;-9,63%;10;15,87%;-6%;3;4,29%;5,24%;0;0,00%;9,52%;;;#VALUE!;;;;;;;;;;;;;;;;;
Dick's Sporting Goods;8;19,05%;7;14,00%;5,05%;12;25,53%;-6,48%;9;14,29%;5%;9;12,86%;6,19%;15;20,27%;-1,22%;;;#VALUE!;;;;;;;;;;;;;;;;;
Diesel;10;23,81%;1;2,00%;21,81%;2;4,26%;19,55%;4;6,35%;17%;5;7,14%;16,67%;4;5,41%;18,40%;;;#VALUE!;;;;;;;;;;;;;;;;;
Dillard's;2;4,76%;4;8,00%;-3,24%;7;14,89%;-10,13%;6;9,52%;-5%;5;7,14%;-2,38%;13;17,57%;-12,81%;9;12,00%;-7,24%;;;;;;;;;;;;;;;;;
Dior;13;30,95%;14;28,00%;2,95%;9;19,15%;11,80%;7;11,11%;20%;2;2,86%;28,10%;0;0,00%;30,95%;0;0,00%;30,95%;;;;;;;;;;;;;;;;;
Disney;11;26,19%;9;18,00%;8,19%;13;27,66%;-1,47%;12;19,05%;7%;;;#VALUE!;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
DKNY;0;0,00%;0;0,00%;0,00%;2;4,26%;-4,26%;2;3,17%;-3%;;;#VALUE!;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Dolce & Gabbana;0;0,00%;0;0,00%;0,00%;0;0,00%;0,00%;0;0,00%;0%;0;0,00%;0,00%;0;0,00%;0,00%;;;#VALUE!;;;;;;;;;;;;;;;;;
Dr. Martens;14;33,33%;16;32,00%;1,33%;4;8,51%;24,82%;3;4,76%;29%;;;#VALUE!;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
